State,City,order_date,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Karnataka,Bengaluru,22-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Panneer Mutter,221,0,0
Karnataka,Bengaluru,30-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Palak,221,0,0
Karnataka,Bengaluru,18-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Mutter,195,0,0
Karnataka,Bengaluru,07-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Mutter Masala,208,0,0
Karnataka,Bengaluru,28-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Gobi Masla,195,0,0
Karnataka,Bengaluru,19-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dal Palak,195,2,9
Karnataka,Bengaluru,08-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Plain Palak,195,0,0
Karnataka,Bengaluru,27-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dal Fry,182,4.3,68
Karnataka,Bengaluru,09-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dal Punjabi,195,3.2,16
Karnataka,Bengaluru,24-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Gobi Masala,195,4,19
Karnataka,Bengaluru,20-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Jeera Dry,169,0,0
Karnataka,Bengaluru,18-04-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Veg Biriyani,195,4.2,22
Karnataka,Bengaluru,24-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Dal Kichdi,221,4.6,18
Karnataka,Bengaluru,05-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Mughlai Biriyani,247,4.7,9
Karnataka,Bengaluru,17-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Palak Rice,221,4.9,27
Karnataka,Bengaluru,15-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Veg Handi Biriyani,247,0,0
Karnataka,Bengaluru,14-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Mushroom Biriyani,247,4.9,6
Karnataka,Bengaluru,16-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Hyderabadhi Biriyani,247,4.7,3
Karnataka,Bengaluru,18-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Kashmiri Biriyani ( Sweet Rice),260,0,0
Karnataka,Bengaluru,12-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Veg Pulav,195,4.2,2
Karnataka,Bengaluru,01-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Palak Kichdi,221,0,0
Karnataka,Bengaluru,14-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Peas Biriyani,208,0,0
Karnataka,Bengaluru,30-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Peas Pulav,195,0,0
Karnataka,Bengaluru,09-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Basmathi Rice,130,0,0
Karnataka,Bengaluru,31-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Panneer Manchurian,247,0,0
Karnataka,Bengaluru,25-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Panner Pepper Dry,260,5,3
Karnataka,Bengaluru,02-04-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Gobi Chilly,195,3.6,5
Karnataka,Bengaluru,21-04-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Paneer Chilly,260,4.4,4
Karnataka,Bengaluru,18-07-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Panner 65,260,0,0
Karnataka,Bengaluru,21-06-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Veg Ball Manchurian,247,4.7,17
Karnataka,Bengaluru,08-01-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Mushroom Pepper Dry,228,2.6,45
Karnataka,Bengaluru,04-02-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Mushroom Manchurian,208,4.1,49
Karnataka,Bengaluru,25-07-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Spanish Manchurian,247,0,0
Karnataka,Bengaluru,22-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Gobi Manchoorian,182,4.3,4
Karnataka,Bengaluru,13-06-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Baby Corn Manchurian,202,4.4,92
Karnataka,Bengaluru,19-02-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Finger Chips,156,4.3,53
Karnataka,Bengaluru,14-05-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Mushroom Chilly,221,0,0
Karnataka,Bengaluru,23-02-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Baby Corn Pepper Dry,208,4.4,61
Karnataka,Bengaluru,16-04-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Baby Corn Chilly,208,4.1,2
Karnataka,Bengaluru,04-01-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Gobi 65,195,3.6,43
Karnataka,Bengaluru,09-08-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Poori Sagu,104,4.5,226
Karnataka,Bengaluru,10-07-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Idly,65,4.5,69
Karnataka,Bengaluru,26-05-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Idly Vada,117,4.7,57
Karnataka,Bengaluru,06-08-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Vada,59,4.3,282
Karnataka,Bengaluru,13-02-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Chow Chow Bath,117,4.7,48
Karnataka,Bengaluru,11-06-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Rava Idly,78,4.2,16
Karnataka,Bengaluru,21-07-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Rice Bath Of The Day,85,4.6,109
Karnataka,Bengaluru,16-08-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Khara Bath,65,4.8,43
Karnataka,Bengaluru,05-04-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Single Idly Vada,91,4.8,12
Karnataka,Bengaluru,17-02-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Kesari Bath,65,4.6,65
Karnataka,Bengaluru,19-07-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Curd Rice,91,4.6,213
Karnataka,Bengaluru,09-02-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Veg Fried Rice,195,4.5,194
Karnataka,Bengaluru,01-08-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Panneer Fried Rice,221,3,4
Karnataka,Bengaluru,25-08-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Jeera Rice,182,4.8,94
Karnataka,Bengaluru,23-03-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Singapore Fried Rice,221,0,0
Karnataka,Bengaluru,24-01-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Ghee Rice,182,4.9,39
Karnataka,Bengaluru,03-06-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Mushroom Fried Rice,208,4.8,45
Karnataka,Bengaluru,05-08-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Shezwan Fried Rice,208,0,0
Karnataka,Bengaluru,04-05-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Veg Manchow Fried Rice,208,0,0
Karnataka,Bengaluru,10-02-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Veg Ginger Fried Rice,208,0,0
Karnataka,Bengaluru,06-06-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Butter Roti,59,4.4,141
Karnataka,Bengaluru,14-02-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Roti,52,4.4,266
Karnataka,Bengaluru,06-03-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Garlic Naan,98,4,34
Karnataka,Bengaluru,12-03-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Naan,72,5,3
Karnataka,Bengaluru,16-02-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Channa Bathura,169,0,0
Karnataka,Bengaluru,09-05-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Butter Kulcha,72,4.4,126
Karnataka,Bengaluru,16-05-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Butter Naan,91,4.1,158
Karnataka,Bengaluru,04-08-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Aloo Parrota,104,0,0
Karnataka,Bengaluru,19-05-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Stuffed Kulcha,104,4.4,19
Karnataka,Bengaluru,31-08-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Masala Kulcha,104,0,0
Karnataka,Bengaluru,12-06-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Batura,104,0,0
Karnataka,Bengaluru,02-02-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Butter Parrota,91,0,0
Karnataka,Bengaluru,03-05-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Parota,78,0,0
Karnataka,Bengaluru,05-01-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Kulcha,59,3.9,52
Karnataka,Bengaluru,22-08-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Kasmiri Naan (Sweet Bread),130,0,0
Karnataka,Bengaluru,19-08-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,My Darling,195,0,0
Karnataka,Bengaluru,28-01-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,My Dream,195,0,0
Karnataka,Bengaluru,20-07-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Tutty Fruity Special,176,0,0
Karnataka,Bengaluru,12-01-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Gudbud,169,0,0
Karnataka,Bengaluru,31-05-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Wedding Day Special,169,0,0
Karnataka,Bengaluru,06-02-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Honeymoon Special,169,5,3
Karnataka,Bengaluru,09-04-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Choclate Nuts Sundae,169,0,0
Karnataka,Bengaluru,02-08-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Vannila Nuts Sundae,169,0,0
Karnataka,Bengaluru,12-07-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Double Sundae,169,0,0
Karnataka,Bengaluru,15-08-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Triple Sundae,169,0,0
Karnataka,Bengaluru,11-04-2025,Srinidhi Sagar Deluxe,Kengeri,Special Ice Cream,Srinidhi Sagar Special              ,247,0,0
Karnataka,Bengaluru,01-01-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Watermelon,98,4,9
Karnataka,Bengaluru,22-05-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Sweet Lassi,98,4.7,13
Karnataka,Bengaluru,27-01-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Special Lassi,117,5,7
Karnataka,Bengaluru,17-05-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Musambi Juice,104,5,5
Karnataka,Bengaluru,26-07-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Mango,111,0,0
Karnataka,Bengaluru,11-02-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Cock-Tail,111,0,0
Karnataka,Bengaluru,24-07-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Muskmelon,104,0,0
Karnataka,Bengaluru,28-06-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Grape,98,0,0
Karnataka,Bengaluru,06-04-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Apple,111,0,0
Karnataka,Bengaluru,29-08-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Pineapple,104,0,0
Karnataka,Bengaluru,21-02-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Kara Lassi,98,0,0
Karnataka,Bengaluru,10-08-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Fresh Lime Soda,91,4.5,18
Karnataka,Bengaluru,23-05-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Butter Milk,62,4.4,20
Karnataka,Bengaluru,20-06-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Fresh Lime Juice,72,3.1,13
Karnataka,Bengaluru,29-01-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Ganga Jamuna,111,0,0
Karnataka,Bengaluru,05-02-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Tomato,91,0,0
Karnataka,Bengaluru,13-01-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Dry Fruit Badam Milkshake,163,0,0
Karnataka,Bengaluru,09-06-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Dry Fruit Pista Milkshake,163,0,0
Karnataka,Bengaluru,06-07-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Dry Fruit Milkshake,163,0,0
Karnataka,Bengaluru,04-07-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Pista,137,0,0
Karnataka,Bengaluru,30-01-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Choclate Milkshake With Nuts,137,0,0
Karnataka,Bengaluru,08-05-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Chocolate,124,0,0
Karnataka,Bengaluru,13-08-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Kesar Pistha,124,0,0
Karnataka,Bengaluru,01-05-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Vannila Milkshake,117,0,0
Karnataka,Bengaluru,26-04-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Rose Milkshake,111,4.5,8
Karnataka,Bengaluru,21-08-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Coffee Milkshake,111,4.2,6
Karnataka,Bengaluru,03-01-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Cold Badam Milk,104,4.7,10
Karnataka,Bengaluru,17-07-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Kaju Anjeer Milk Shake,163,0,0
Karnataka,Bengaluru,04-06-2025,Srinidhi Sagar Deluxe,Kengeri,Flavoured Milkshakes,Extra Ice Cream,52,0,0
Karnataka,Bengaluru,14-06-2025,Srinidhi Sagar Deluxe,Kengeri,Noodles,Veg Noodles,208,4.7,82
Karnataka,Bengaluru,28-04-2025,Srinidhi Sagar Deluxe,Kengeri,Noodles,Singapore Noodles,234,0,0
Karnataka,Bengaluru,23-04-2025,Srinidhi Sagar Deluxe,Kengeri,Noodles,Mushroom Noodles,221,0,0
Karnataka,Bengaluru,05-07-2025,Srinidhi Sagar Deluxe,Kengeri,Noodles,Shezwan Noodles,221,0,0
Karnataka,Bengaluru,08-02-2025,Srinidhi Sagar Deluxe,Kengeri,Noodles,Veg Hakka Noodles,221,4.2,23
Karnataka,Bengaluru,03-07-2025,Srinidhi Sagar Deluxe,Kengeri,Kadai,Kadai Mix Veg,260,4.8,59
Karnataka,Bengaluru,12-08-2025,Srinidhi Sagar Deluxe,Kengeri,Kadai,Kadai Panneer,286,0,0
Karnataka,Bengaluru,27-05-2025,Srinidhi Sagar Deluxe,Kengeri,Kadai,Kadai Mushroom,286,0,0
Karnataka,Bengaluru,06-05-2025,Srinidhi Sagar Deluxe,Kengeri,Kadai,Veg Kolapuri,260,0,0
Karnataka,Bengaluru,02-07-2025,Srinidhi Sagar Deluxe,Kengeri,Kadai,Kadai Gobi Mutter,260,0,0
Karnataka,Bengaluru,25-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Panneer Tikka Butter Masala,299,0,0
Karnataka,Bengaluru,08-04-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Veg Hyderabadhi,260,0,0
Karnataka,Bengaluru,28-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Baby Corn Mushroom Masala,260,5,3
Karnataka,Bengaluru,24-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Veg Jal Frezi,260,0,0
Karnataka,Bengaluru,07-04-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Baby Corn Green Masala,260,0,0
Karnataka,Bengaluru,28-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Dum Aloo Hyderabadhi,260,0,0
Karnataka,Bengaluru,14-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Veg Pepper Masla,260,0,0
Karnataka,Bengaluru,17-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Veg Patiala,299,0,0
Karnataka,Bengaluru,11-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Special Dishes,Srinidhi Sagar Special,312,0,0
Karnataka,Bengaluru,27-06-2025,Srinidhi Sagar Deluxe,Kengeri,Meals,South Indian Meals,190,4.4,246
Karnataka,Bengaluru,08-06-2025,Srinidhi Sagar Deluxe,Kengeri,Meals,North Indian Meals,260,4.8,10
Karnataka,Bengaluru,07-01-2025,Srinidhi Sagar Deluxe,Kengeri,Soups,Veg Manchow,130,1.9,19
Karnataka,Bengaluru,22-04-2025,Srinidhi Sagar Deluxe,Kengeri,Soups,Tomato Soup,124,4.9,48
Karnataka,Bengaluru,20-05-2025,Srinidhi Sagar Deluxe,Kengeri,Soups,Sweet Corn Soup,124,0,0
Karnataka,Bengaluru,16-07-2025,Srinidhi Sagar Deluxe,Kengeri,Soups,Hot&Sour Soup,130,0,0
Karnataka,Bengaluru,30-04-2025,Srinidhi Sagar Deluxe,Kengeri,Soups,Cream Of Veg,130,0,0
Karnataka,Bengaluru,15-06-2025,Srinidhi Sagar Deluxe,Kengeri,Soups,Cream Of Mushroom,130,0,0
Karnataka,Bengaluru,02-06-2025,Srinidhi Sagar Deluxe,Kengeri,Soups,Veg Clear Soup,124,0,0
Karnataka,Bengaluru,20-04-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Tutty Fruity,98,0,0
Karnataka,Bengaluru,13-07-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Vannila,91,0,0
Karnataka,Bengaluru,18-06-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Chocolate               ,98,0,0
Karnataka,Bengaluru,25-06-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Butter Scotch,98,0,0
Karnataka,Bengaluru,25-04-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Black Current,98,0,0
Karnataka,Bengaluru,29-04-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Pista       ,98,0,0
Karnataka,Bengaluru,26-08-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Strawberry       ,91,5,3
Karnataka,Bengaluru,18-08-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Mango                   ,91,0,0
Karnataka,Bengaluru,19-04-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Creams In Cup,Pineapple                ,91,0,0
Karnataka,Bengaluru,01-07-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Milkshakes,Pomegranate   ,117,4.7,3
Karnataka,Bengaluru,14-08-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Milkshakes,Mango   ,117,0,0
Karnataka,Bengaluru,17-01-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Milkshakes,Chikku   ,117,0,0
Karnataka,Bengaluru,15-02-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Milkshakes,Strawberry   ,117,0,0
Karnataka,Bengaluru,06-01-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Milkshakes,Muskmelon   ,117,0,0
Karnataka,Bengaluru,30-06-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Milkshakes,Apple   ,117,0,0
Karnataka,Bengaluru,25-01-2025,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Milkshakes,Banana   ,117,0,0
Karnataka,Bengaluru,11-08-2025,Srinidhi Sagar Deluxe,Kengeri,Raitha,Mix Raitha,130,0,0
Karnataka,Bengaluru,23-06-2025,Srinidhi Sagar Deluxe,Kengeri,Raitha,Boondi Raitha,130,0,0
Karnataka,Bengaluru,24-04-2025,Srinidhi Sagar Deluxe,Kengeri,Raitha,Aloo Raitha,130,0,0
Karnataka,Bengaluru,01-02-2025,Srinidhi Sagar Deluxe,Kengeri,Raitha,Cucumber Raitha,117,0,0
Karnataka,Bengaluru,07-05-2025,Srinidhi Sagar Deluxe,Kengeri,Raitha,Pineapple Raitha,130,0,0
Karnataka,Bengaluru,12-02-2025,Srinidhi Sagar Deluxe,Kengeri,Salad & Papad,Masala Papad,91,4.8,36
Karnataka,Bengaluru,26-01-2025,Srinidhi Sagar Deluxe,Kengeri,Salad & Papad,Green Salad,104,0,0
Karnataka,Bengaluru,26-02-2025,Srinidhi Sagar Deluxe,Kengeri,Salad & Papad,Cucumber Salad,91,0,0
Karnataka,Bengaluru,22-06-2025,Srinidhi Sagar Deluxe,Kengeri,Salad & Papad,Roasted Papad,39,3.1,24
Karnataka,Bengaluru,20-01-2025,Srinidhi Sagar Deluxe,Kengeri,Beverages,Tea,49,4.8,71
Karnataka,Bengaluru,05-05-2025,Srinidhi Sagar Deluxe,Kengeri,Beverages,Coffee,49,4.6,99
Karnataka,Bengaluru,23-08-2025,Srinidhi Sagar Deluxe,Kengeri,Beverages,Badam Milk,52,4.5,25
Karnataka,Bengaluru,15-07-2025,Srinidhi Sagar Deluxe,Kengeri,Sweets,Gulab Jamun,52,4.4,37
Karnataka,Bengaluru,04-04-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Cream Soda,Vannila Soda,117,0,0
Karnataka,Bengaluru,19-01-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Cream Soda,Strawberry Soda,117,0,0
Karnataka,Bengaluru,23-01-2025,Srinidhi Sagar Deluxe,Kengeri,Ice Cream Soda,Choclate Soda,117,0,0
Karnataka,Bengaluru,27-08-2025,Srinidhi Sagar Deluxe,Kengeri,Dosas,Rava Onion Masala,156,4.7,33
